,Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams
0,P,Brian Moorman,AFC,BUF,29,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
1,WR,Steve Smith,NFC,CAR,26,4,16,16,0,0,0,0,0,4,25,1,103,1563,12,2,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
2,MLB,Brian Urlacher,NFC,CHI,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,97,6.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
3,WR,Chad Johnson,AFC,CIN,27,4,16,16,0,0,0,0,0,5,33,0,97,1432,9,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
4,DE,Dwight Freeney,AFC,IND,25,3,16,13,0,0,0,0,0,0,0,0,0,0,0,29,11.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
5,QB,Peyton Manning,AFC,IND,29,7,16,16,305,453,3747,28,10,33,45,0,0,0,0,1,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
6,K,Neil Rackers,NFC,ARI,29,5,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
7,LCB,Champ Bailey,AFC,DEN,27,6,14,14,0,0,0,0,0,0,0,0,0,0,0,59,0.0,8,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
8,,Jerome Mathis,AFC,HOU,22,Rook,12,0,0,0,0,0,0,0,0,0,5,65,1,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
9,LG,Alan Faneca,AFC,PIT,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
10,SS,Troy Polamalu,AFC,PIT,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,73,3.0,2,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
11,TE,Antonio Gates,AFC,SDG,25,2,15,15,0,0,0,0,0,0,0,0,89,1101,10,4,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
12,RB,Shaun Alexander,NFC,SEA,28,5,16,16,0,0,0,0,0,370,1880,27,15,78,1,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
13,LG,Steve Hutchinson,NFC,SEA,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
14,LT,Walter Jones,NFC,SEA,31,8,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
