,Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams
0,RDT,Kris Jenkins,NFC,CAR,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,39,5.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
1,QB,Peyton Manning,AFC,IND,27,5,16,16,379,566,4267,29,10,28,26,0,1,-2,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
2,K,Mike Vanderjagt,AFC,IND,33,5,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
3,FS/SS,Roy Williams,NFC,DAL,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,55,2.0,2,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
4,TE,Tony Gonzalez,AFC,KAN,27,6,16,16,0,0,0,0,0,0,0,0,71,916,10,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
5,WR,Dante Hall,AFC,KAN,25,3,16,2,0,0,0,0,0,16,73,0,40,423,1,2,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
6,RB,Priest Holmes,AFC,KAN,30,6,16,16,0,1,0,0,0,320,1420,27,74,690,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
7,RG,Will Shields,AFC,KAN,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
8,DE/DT/LDT,Richard Seymour,AFC,NWE,24,2,15,14,0,0,0,0,0,0,0,0,0,0,0,34,8.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
9,DE,Michael Strahan,NFC,NYG,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,61,18.5,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
