,Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams
0,LG,Larry Allen,NFC,DAL,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
1,FS,Darren Sharper,NFC,GNB,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,72,1.0,9,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
2,TE,Tony Gonzalez,AFC,KAN,24,3,16,16,0,0,0,0,0,0,0,0,93,1203,9,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
3,RCB,Sam Madison,AFC,MIA,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,29,0.0,5,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
4,DE,Jason Taylor,AFC,MIA,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,37,14.5,1,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
5,WR,Randy Moss,NFC,MIN,23,2,16,16,0,0,0,0,0,3,5,0,77,1437,15,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
6,RDT,La'Roi Glover,NFC,NOR,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,54,17.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
7,WR,Derrick Mason,AFC,TEN,26,3,16,10,0,0,0,0,0,1,1,0,63,895,5,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
8,G/LG,Bruce Matthews,AFC,TEN,39,17,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
9,CB/LCB/RCB,Samari Rolle,AFC,TEN,24,2,15,15,0,0,0,0,0,0,0,0,0,0,0,35,1.5,7,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
10,DE,Hugh Douglas,NFC,PHI,29,5,16,15,0,0,0,0,0,0,0,0,0,0,0,44,15.0,1,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
11,QB,Rich Gannon,AFC,OAK,35,13,16,16,284,473,3430,28,11,89,529,4,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
12,RB,Marshall Faulk,NFC,STL,27,6,14,14,0,0,0,0,0,253,1359,18,81,830,8,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
13,MLB,Ray Lewis,AFC,BAL,25,4,16,16,0,0,0,0,0,0,0,0,0,0,0,107,3.0,2,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
14,LT,Jonathan Ogden,AFC,BAL,26,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
15,K,Matt Stover,AFC,BAL,32,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
16,LB,Junior Seau,AFC,SDG,31,10,16,16,0,0,0,0,0,0,0,0,0,0,0,103,3.5,2,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
17,LB,Derrick Brooks,NFC,TAM,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,125,1.0,1,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
18,SS,John Lynch,NFC,TAM,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,57,1.0,3,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
19,DT,Warren Sapp,NFC,TAM,28,5,16,15,0,0,0,0,0,0,0,0,0,0,0,43,16.5,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
20,WR,Marvin Harrison,AFC,IND,28,4,16,16,0,0,0,0,0,0,0,0,102,1413,14,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm"
21,C,Tom Nalen,AFC,DEN,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, SN: 1st Tm"
22,RB,Eddie George,AFC,TEN,27,4,16,16,0,0,0,0,0,403,1509,14,50,453,2,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm"
23,RB,Edgerrin James,AFC,IND,22,1,16,16,0,0,0,0,0,387,1709,13,63,594,5,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm"
24,LT,Willie Roaf,NFC,NOR,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm"
25,LT/T,Orlando Pace,NFC,STL,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm"
26,,Michael Bates,NFC,CAR,31,7,16,0,0,0,0,0,0,5,13,0,5,38,0,0,0.0,0,"PFW: 1st Tm All-Conf., FW: 1st Tm"
27,MLB,Jeremiah Trotter,NFC,PHI,23,2,16,16,0,0,0,0,0,0,0,0,0,0,0,100,3.0,1,"PFW: 1st Tm All-Conf., AP: 1st Tm"
28,P,Darren Bennett,AFC,SDG,35,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., FW: 1st Tm"
29,WR,Terrell Owens,NFC,SFO,27,4,14,13,0,0,0,0,0,3,11,0,97,1451,13,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm"
30,C,Kevin Mawae,AFC,NYJ,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 2nd Tm, FW: 1st Tm"
31,WR,Rod Smith,AFC,DEN,30,5,16,16,0,0,0,0,0,6,99,1,100,1602,8,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
32,,Trace Armstrong,AFC,MIA,35,11,16,0,0,0,0,0,0,0,0,0,0,0,0,24,16.5,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
33,RB,Robert Smith,NFC,MIN,28,7,16,16,0,0,0,0,0,295,1521,7,36,348,3,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
34,LB/LOLB,Mo Lewis,AFC,NYJ,31,9,16,16,0,0,0,0,0,1,3,0,0,0,0,65,10.0,1,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
35,TE,Chad Lewis,NFC,PHI,29,3,16,16,0,0,0,0,0,0,0,0,69,735,3,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
36,LG,Steve Wisniewski,AFC,OAK,33,11,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
37,LDT,Sam Adams,AFC,BAL,27,6,16,16,0,0,0,0,0,0,0,0,0,0,0,23,2.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
38,FS,Rod Woodson,AFC,BAL,35,13,16,16,0,0,0,0,0,0,0,0,0,0,0,67,0.0,4,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
39,K,Martin Gramatica,NFC,TAM,25,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
40,LCB,Champ Bailey,NFC,WAS,22,1,16,16,0,0,0,0,0,1,7,1,3,78,0,52,0.0,5,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
41,P,Scott Player,NFC,ARI,31,2,16,0,0,0,0,0,0,1,-11,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf.
42,RDT,Trevor Pryce,AFC,DEN,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,36,12.0,0,PFW: 1st Tm All-Conf.
43,,Desmond Howard,NFC,DET,30,8,15,0,0,0,0,0,0,0,0,0,2,14,0,0,0.0,0,PFW: 1st Tm All-Conf.
