,Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams
0,QB,Tom Brady,AFC,NWE,33,10,16,16,324,492,3900,36,4,31,30,1,0,0,0,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
1,QB,Matt Ryan,NFC,ATL,25,2,16,16,357,571,3705,28,9,46,122,0,0,0,0,0,0.0,0,PFF: 1st Tm
2,QB,Peyton Manning,AFC,IND,34,12,16,16,450,679,4700,33,17,18,18,0,0,0,0,0,0.0,0,
3,QB,Matt Cassel,AFC,KAN,28,5,15,15,262,450,3116,27,7,33,125,0,0,0,0,0,0.0,0,
4,QB,Drew Brees,NFC,NOR,31,9,16,16,448,658,4620,33,22,18,-3,0,1,7,0,1,0.0,0,
5,QB,Michael Vick,NFC,PHI,30,9,12,12,233,372,3018,21,6,100,676,9,0,0,0,0,0.0,0,
6,QB,Philip Rivers,AFC,SDG,29,6,16,16,357,541,4710,30,13,29,52,0,0,0,0,3,0.0,0,
7,RB,Arian Foster,AFC,HOU,24,1,16,13,0,0,0,0,0,327,1616,16,66,604,2,2,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
8,RB,Jamaal Charles,AFC,KAN,24,2,16,6,0,0,0,0,0,230,1467,5,45,468,3,1,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm"
9,RB,Maurice Jones-Drew,AFC,JAX,25,4,14,14,0,1,0,0,1,299,1324,5,34,317,2,3,0.0,0,SN: 1st Tm
10,RB,Adrian Peterson,NFC,MIN,25,3,15,15,0,0,0,0,0,283,1298,12,36,341,1,3,0.0,0,"AP: 2nd Tm, PFF: 2nd Tm"
11,RB,Michael Turner,NFC,ATL,28,6,16,15,0,0,0,0,0,334,1371,12,12,85,0,0,0.0,0,AP: 2nd Tm
12,RB,Chris Johnson,AFC,TEN,25,2,16,16,0,0,0,0,0,316,1364,11,44,245,1,2,0.0,0,
13,RB,Steven Jackson,NFC,STL,27,6,16,16,0,0,0,0,0,330,1241,6,46,383,0,1,0.0,0,
14,FB,Ovie Mughelli,NFC,ATL,30,7,16,6,0,0,0,0,0,13,36,0,13,126,1,6,0.0,0,"AP: 2nd Tm, PFF: 1st Tm"
15,FB,Vonta Leach,AFC,HOU,29,6,16,5,0,0,0,0,0,0,0,0,8,91,0,6,0.0,0,AP: 1st Tm
16,WR,Roddy White,NFC,ATL,29,5,16,16,0,0,0,0,0,1,3,0,115,1389,10,3,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm, PFF: 2nd Tm"
17,WR,Reggie Wayne,AFC,IND,32,9,16,16,0,0,0,0,0,0,0,0,111,1355,6,1,0.0,0,"AP: 1st Tm, FW: 1st Tm"
18,WR,Andre Johnson,AFC,HOU,29,7,13,13,0,0,0,0,0,2,10,0,86,1216,8,2,0.0,0,"PFF: 1st Tm, SN: 1st Tm"
19,WR,Brandon Lloyd,AFC,DEN,29,7,16,11,0,0,0,0,0,1,-18,0,77,1448,11,2,0.0,0,"PFF: 1st Tm, AP: 2nd Tm"
20,WR,Calvin Johnson,NFC,DET,25,3,15,15,0,0,0,0,0,4,32,0,77,1120,12,2,0.0,0,"AP: 2nd Tm, PFF: 2nd Tm"
21,WR,Dwayne Bowe,AFC,KAN,26,3,16,16,0,0,0,0,0,1,4,0,72,1162,15,1,0.0,0,AP: 2nd Tm
22,WR,Larry Fitzgerald,NFC,ARI,27,6,16,15,0,0,0,0,0,0,0,0,90,1137,6,4,0.0,0,
23,WR,Miles Austin,NFC,DAL,26,4,16,16,0,0,0,0,0,7,93,1,69,1041,7,6,0.0,0,
24,WR,Greg Jennings,NFC,GNB,27,4,16,16,0,0,0,0,0,1,-1,0,76,1265,12,3,0.0,0,
25,WR,Wes Welker,AFC,NWE,29,6,15,11,0,0,0,0,0,0,0,0,86,848,7,0,0.0,0,
26,WR,DeSean Jackson,NFC,PHI,24,2,14,14,0,0,0,0,0,16,104,1,47,1056,6,1,0.0,0,
27,TE,Jason Witten,NFC,DAL,28,7,16,16,0,0,0,0,0,0,0,0,94,1002,9,1,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
28,TE,Marcedes Lewis,AFC,JAX,26,4,16,16,0,0,0,0,0,0,0,0,58,700,10,3,0.0,0,PFF: 2nd Tm
29,TE,Antonio Gates,AFC,SDG,30,7,10,10,0,0,0,0,0,0,0,0,50,782,10,0,0.0,0,AP: 2nd Tm
30,TE,Tony Gonzalez,NFC,ATL,34,13,16,16,0,0,0,0,0,0,0,0,70,656,6,1,0.0,0,
31,TE,Zach Miller,AFC,OAK,25,3,15,15,0,0,0,0,0,0,0,0,60,685,5,4,0.0,0,
32,T,Jake Long,AFC,MIA,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
33,T,Joe Thomas,AFC,CLE,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
34,T,Jason Peters,NFC,PHI,28,6,13,13,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,AP: 2nd Tm
35,T,Tyson Clabo,NFC,ATL,29,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
36,T,Jordan Gross,NFC,CAR,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
37,T,Chad Clifton,NFC,GNB,34,10,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,
38,T,Matt Light,AFC,NWE,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
39,T,D'Brickashaw Ferguson,AFC,NYJ,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,
40,T,Donald Penn,NFC,TAM,27,3,16,16,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0,
41,G,Jahri Evans,NFC,NOR,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
42,G,Chris Snee,NFC,NYG,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,"AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm"
43,G,Carl Nicks,NFC,NOR,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,"AP: 2nd Tm, PFF: 1st Tm"
44,G,Logan Mankins,AFC,NWE,28,5,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 1st Tm
45,G,Brian Waters,AFC,KAN,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
46,G,Kris Dielman,AFC,SDG,29,7,15,15,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,
47,C,Nick Mangold,AFC,NYJ,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
