,Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams
0,P,Todd Sauerbrun,NFC,CAR,28,6,16,0,0,0,0,0,0,1,0,0,0,0,0,3,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
1,WR,Steve Smith,NFC,CAR,22,Rook,15,1,0,0,0,0,0,4,43,0,10,154,0,1,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
2,MLB,Brian Urlacher,NFC,CHI,23,1,16,16,0,0,0,0,0,0,0,0,1,27,1,89,6.0,3,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
3,DE/LB,Jamir Miller,AFC,CLE,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,81,13.0,1,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
4,WR,David Boston,NFC,ARI,23,2,16,15,0,0,0,0,0,5,35,0,98,1598,8,1,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
5,LG,Larry Allen,NFC,DAL,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
6,TE,Tony Gonzalez,AFC,KAN,25,4,16,16,1,1,40,0,0,1,9,0,73,917,6,2,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
7,DE,Michael Strahan,NFC,NYG,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,60,22.5,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
8,DE,John Abraham,AFC,NYJ,23,1,16,15,0,0,0,0,0,0,0,0,0,0,0,53,13.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
9,C,Kevin Mawae,AFC,NYJ,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
10,K,David Akers,NFC,PHI,27,3,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
11,FS,Brian Dawkins,NFC,PHI,28,5,15,15,0,0,0,0,0,0,0,0,0,0,0,56,1.5,2,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
