,Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams
0,LB,Takeo Spikes,AFC,BUF,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,61,3.0,5,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
1,DE,Julius Peppers,NFC,CAR,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,52,11.0,2,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
2,DE,Dwight Freeney,AFC,IND,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,31,16.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
3,QB,Peyton Manning,AFC,IND,28,6,16,16,336,497,4557,49,10,25,38,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
4,CB/LCB,Champ Bailey,AFC,DEN,26,5,16,16,0,0,0,0,0,0,0,0,1,11,0,68,0.0,3,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
5,WR,Eddie Drummond,NFC,DET,24,2,11,1,0,0,0,0,0,1,9,0,0,0,0,3,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
6,DT,Kevin Williams,NFC,MIN,24,1,16,16,0,0,0,0,0,0,0,0,0,0,0,52,11.5,1,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
7,DE,Richard Seymour,AFC,NWE,25,3,15,15,0,0,0,0,0,0,0,0,0,0,0,24,5.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
8,K,Adam Vinatieri,AFC,NWE,32,8,16,0,1,1,4,1,0,0,0,0,0,0,0,2,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
9,RB,Curtis Martin,AFC,NYJ,31,9,16,16,0,0,0,0,0,371,1697,12,41,245,2,3,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
10,FS,Brian Dawkins,NFC,PHI,31,8,15,15,0,0,0,0,0,0,0,0,0,0,0,61,3.0,4,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
11,WR,Terrell Owens,NFC,PHI,31,8,14,14,0,0,0,0,0,3,-5,0,77,1200,14,1,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
12,LG,Alan Faneca,AFC,PIT,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
13,LILB,James Farrior,AFC,PIT,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,65,3.0,4,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
14,P,Shane Lechler,AFC,OAK,28,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
15,SS,Ed Reed,AFC,BAL,26,2,16,16,0,0,0,0,0,0,0,0,0,0,0,62,2.0,9,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
16,TE,Antonio Gates,AFC,SDG,24,1,15,15,0,0,0,0,0,0,0,0,81,964,13,1,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
17,LT,Walter Jones,NFC,SEA,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
18,LG,Brian Waters,AFC,KAN,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
19,LCB,Terrence McGee,AFC,BUF,24,1,16,13,0,0,0,0,0,0,0,0,0,0,0,75,2.0,3,"PFW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm"
20,WR,Muhsin Muhammad,NFC,CAR,31,8,16,16,0,0,0,0,0,3,15,0,93,1405,16,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm"
21,LT,Willie Roaf,AFC,KAN,34,11,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm"
22,LCB,Lito Sheppard,NFC,PHI,23,2,15,15,0,0,0,0,0,0,0,0,0,0,0,52,1.0,5,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm"
23,LB,Derrick Brooks,NFC,TAM,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,109,3.0,1,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm"
24,C,Jeff Hartings,AFC,PIT,32,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 1st Tm, SN: 1st Tm"
25,LB/RILB,Ray Lewis,AFC,BAL,29,8,15,15,0,0,0,0,0,0,0,0,0,0,0,100,1.0,0,"AP: 1st Tm, SN: 1st Tm"
26,WR,Marvin Harrison,AFC,IND,32,8,16,16,0,0,0,0,0,0,0,0,86,1113,15,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm"
27,RB,Edgerrin James,AFC,IND,26,5,16,16,0,0,0,0,0,334,1548,9,51,483,0,2,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm"
28,C,Kevin Mawae,AFC,NYJ,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm"
29,CB/LCB,Chris McAlister,AFC,BAL,27,5,15,14,0,0,0,0,0,0,0,0,0,0,0,38,0.0,1,"PFW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm"
30,RB,Shaun Alexander,NFC,SEA,27,4,16,16,0,0,0,0,0,353,1696,16,23,170,4,1,0.0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm"
31,,Larry Izzo,AFC,NWE,30,8,16,0,0,0,0,0,0,1,0,0,0,0,0,22,0.0,0,"PFW: 1st Tm All-Conf., FW: 1st Tm"
32,RT/T,Willie Anderson,AFC,CIN,29,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 1st Tm
33,FB/RB,William Henderson,NFC,GNB,33,9,16,8,0,0,0,0,0,0,0,0,34,239,3,9,0.0,0,AP: 1st Tm
34,LT,Orlando Pace,NFC,STL,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,SN: 1st Tm
35,RB,LaDainian Tomlinson,AFC,SDG,25,3,15,15,1,2,38,0,0,339,1335,17,53,441,1,1,0.0,0,AP: 1st Tm
36,RCB,Ronde Barber,NFC,TAM,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,83,3.0,3,AP: 1st Tm
37,LB,Keith Brooking,NFC,ATL,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,86,2.5,3,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
38,DE,Bertrand Berry,NFC,ARI,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,39,14.5,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
