,Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams
0,QB,Tom Brady,AFC,NWE,40,17,16,16,385,581,4577,32,8,25,28,0,0,0,0,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
1,QB,Carson Wentz,NFC,PHI,25,1,13,13,265,440,3296,33,7,64,299,0,0,0,0,0,0.0,0,AP: 2nd Tm
2,QB,Alex Smith,AFC,KAN,33,12,15,15,341,505,4042,26,5,60,355,1,0,0,0,0,0.0,0,
3,QB,Drew Brees,NFC,NOR,38,16,16,16,386,536,4334,23,8,33,12,2,0,0,0,0,0.0,0,
4,QB,Ben Roethlisberger,AFC,PIT,35,13,15,15,360,561,4251,28,14,28,47,0,0,0,0,0,0.0,0,
5,QB,Derek Carr,AFC,OAK,26,3,15,15,323,515,3496,22,13,23,66,0,0,0,0,0,0.0,0,
6,QB,Jared Goff,NFC,LAR,23,1,15,15,296,477,3804,28,7,28,51,1,0,0,0,0,0.0,0,
7,QB,Philip Rivers,AFC,LAC,36,13,16,16,360,575,4515,28,10,18,-2,0,0,0,0,0,0.0,0,
8,QB,Russell Wilson,NFC,SEA,29,5,16,16,339,553,3983,34,11,95,586,3,0,0,0,0,0.0,0,
9,RB,Todd Gurley,NFC,LAR,23,2,15,15,0,0,0,0,0,279,1305,13,64,788,6,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
10,RB,Le'Veon Bell,AFC,PIT,25,4,15,15,0,0,0,0,0,321,1291,9,85,655,2,0,0.0,0,"AP: 1st Tm, AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm"
11,RB,Alvin Kamara,NFC,NOR,22,Rook,16,3,0,0,0,0,0,120,728,8,81,826,5,0,0.0,0,"AP: 2nd Tm, PFF: 2nd Tm"
12,RB,LeSean McCoy,AFC,BUF,29,8,16,16,0,0,0,0,0,287,1138,6,59,448,2,0,0.0,0,
13,RB,Kareem Hunt,AFC,KAN,22,Rook,16,16,0,0,0,0,0,272,1327,8,53,455,3,0,0.0,0,
14,RB,Mark Ingram,NFC,NOR,28,6,16,13,0,0,0,0,0,230,1124,12,58,416,0,0,0.0,0,
15,FB,James Develin,AFC,NWE,29,6,16,7,0,0,0,0,0,0,0,0,6,38,0,0,0.0,0,
16,FB,Roosevelt Nix,AFC,PIT,25,2,16,4,0,0,0,0,0,3,0,1,2,6,1,0,0.0,0,
17,FB,Kyle Juszczyk,NFC,SFO,26,4,14,10,0,0,0,0,0,7,31,0,33,315,1,0,0.0,0,
18,WR,Antonio Brown,AFC,PIT,29,7,14,14,0,0,0,0,0,0,0,0,101,1533,9,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
19,WR,DeAndre Hopkins,AFC,HOU,25,4,15,15,0,0,0,0,0,0,0,0,96,1378,13,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm"
20,WR,Julio Jones,NFC,ATL,28,6,16,16,0,0,0,0,0,1,15,0,88,1444,3,0,0.0,0,"AP: 2nd Tm, PFF: 1st Tm, SN: 1st Tm"
21,WR,Adam Thielen,NFC,MIN,27,4,16,16,0,0,0,0,0,1,11,0,91,1276,4,0,0.0,0,AP: 2nd Tm
22,WR,Michael Thomas,NFC,NOR,24,1,16,14,0,0,0,0,0,0,0,0,104,1245,5,0,0.0,0,PFF: 2nd Tm
23,WR,Keenan Allen,AFC,LAC,25,4,16,15,0,0,0,0,0,2,9,0,102,1393,6,0,0.0,1,PFF: 2nd Tm
24,WR,A.J. Green,AFC,CIN,29,6,16,16,0,0,0,0,0,0,0,0,75,1078,8,0,0.0,0,
25,WR,T.Y. Hilton,AFC,IND,28,5,16,16,0,0,0,0,0,0,0,0,57,966,4,0,0.0,0,
26,WR,Larry Fitzgerald,NFC,ARI,34,13,16,16,1,1,21,0,0,0,0,0,109,1156,6,0,0.0,0,
27,WR,Davante Adams,NFC,GNB,25,3,14,14,0,0,0,0,0,0,0,0,74,885,10,0,0.0,0,
28,WR,Jarvis Landry,AFC,MIA,25,3,16,16,0,1,0,0,0,1,-7,0,112,987,9,0,0.0,0,
29,WR,Doug Baldwin,NFC,SEA,29,6,16,16,0,0,0,0,0,2,-8,0,75,991,8,0,0.0,0,
30,TE,Rob Gronkowski,AFC,NWE,28,7,14,14,0,0,0,0,0,0,0,0,69,1084,8,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm"
31,TE,Travis Kelce,AFC,KAN,28,4,15,15,0,1,0,0,1,2,7,0,83,1038,8,0,0.0,0,"AP: 2nd Tm, SN: 1st Tm"
32,TE,Jack Doyle,AFC,IND,27,4,15,15,0,0,0,0,0,0,0,0,80,690,4,0,0.0,0,
33,TE,Jason Witten,NFC,DAL,35,14,16,16,0,0,0,0,0,0,0,0,63,560,5,0,0.0,0,
