,Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams
0,QB,Aaron Rodgers,NFC,GNB,35,13,14,14,332,537,3974,23,2,38,237,0,0,0,0,0,0.0,0,
1,QB,Patrick Mahomes,AFC,KAN,23,1,14,14,346,516,4543,45,11,55,238,2,0,0,0,0,0.0,0,
2,QB,Drew Brees,NFC,NOR,39,17,14,14,337,450,3666,31,5,30,23,4,1,1,0,0,0.0,0,
3,QB,Tom Brady,AFC,NWE,41,18,14,14,338,513,3979,24,9,23,35,2,1,6,0,0,0.0,0,
4,QB,Jared Goff,NFC,LAR,24,2,14,14,330,511,4273,27,12,40,102,1,0,0,0,0,0.0,0,
5,QB,Philip Rivers,AFC,LAC,37,14,14,14,310,447,3951,31,8,16,6,0,0,0,0,0,0.0,0,
6,RB,Ezekiel Elliott,NFC,DAL,23,2,14,14,0,0,0,0,0,286,1349,6,72,543,3,0,0.0,0,
7,RB,Phillip Lindsay,AFC,DEN,24,Rook,14,7,0,0,0,0,0,182,991,9,33,230,1,1,0.0,0,
8,RB,Saquon Barkley,NFC,NYG,21,Rook,14,14,0,0,0,0,0,223,1155,9,82,654,4,0,0.0,0,
9,RB,James Conner,AFC,PIT,23,1,12,11,0,0,0,0,0,201,909,12,52,467,1,0,0.0,0,
10,RB,Todd Gurley,NFC,LAR,24,3,14,14,0,0,0,0,0,256,1251,17,59,580,4,0,0.0,0,
11,RB,Melvin Gordon,AFC,LAC,25,3,10,10,0,0,0,0,0,153,802,9,44,453,4,0,0.0,0,
12,FB,Anthony Sherman,AFC,KAN,30,7,14,1,0,0,0,0,0,1,2,0,6,77,1,1,0.0,0,
13,FB,Kyle Juszczyk,NFC,SFO,27,5,14,12,0,0,0,0,0,6,21,0,29,309,1,0,0.0,0,
14,WR,Julio Jones,NFC,ATL,29,7,14,14,0,0,0,0,0,2,12,0,100,1511,6,0,0.0,0,
15,WR,Davante Adams,NFC,GNB,26,4,14,14,0,0,0,0,0,0,0,0,100,1315,12,2,0.0,0,
16,WR,DeAndre Hopkins,AFC,HOU,26,5,14,14,0,1,0,0,0,1,-7,0,94,1321,11,0,0.0,0,
17,WR,Tyreek Hill,AFC,KAN,24,2,14,14,0,0,0,0,0,19,119,0,78,1304,11,0,0.0,0,
18,WR,Adam Thielen,NFC,MIN,28,5,14,14,0,0,0,0,0,3,28,0,105,1255,9,0,0.0,0,
19,WR,Michael Thomas,NFC,NOR,25,2,14,14,0,0,0,0,0,0,0,0,109,1267,8,0,0.0,0,
20,WR,Antonio Brown,AFC,PIT,30,8,14,14,0,1,0,0,0,0,0,0,90,1112,13,0,0.0,0,
21,WR,Keenan Allen,AFC,LAC,26,5,14,13,0,0,0,0,0,9,75,0,88,1074,6,0,0.0,0,
22,TE,Eric Ebron,AFC,IND,25,4,14,7,0,1,0,0,0,3,-8,1,59,662,12,0,0.0,0,
23,TE,Travis Kelce,AFC,KAN,29,5,14,14,0,0,0,0,0,0,0,0,93,1220,10,0,0.0,0,
24,TE,Zach Ertz,NFC,PHI,28,5,14,14,0,0,0,0,0,0,0,0,101,1038,6,0,0.0,0,
25,TE,George Kittle,NFC,SFO,25,1,14,14,0,0,0,0,0,1,10,0,72,1154,4,0,0.0,0,
26,G,Trai Turner,NFC,CAR,25,4,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
27,G,Quenton Nelson,AFC,IND,22,Rook,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
28,G,Zack Martin,NFC,DAL,28,4,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
29,G,Tyron Smith,NFC,DAL,28,7,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
30,G,Eric Fisher,AFC,KAN,27,5,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
31,G,Terron Armstead,NFC,NOR,27,5,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
32,G,Taylor Lewan,AFC,TEN,27,4,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
33,G,Brandon Brooks,NFC,PHI,29,6,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
34,G,David DeCastro,AFC,PIT,28,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
35,G,Alejandro Villanueva,AFC,PIT,30,4,14,14,0,0,0,0,0,0,0,0,1,2,1,0,0.0,0,
36,G,Marshal Yanda,AFC,BAL,34,11,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
37,G,Trent Williams,NFC,WAS,30,8,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
38,C,Alex Mack,NFC,ATL,33,9,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
39,C,Max Unger,NFC,NOR,32,9,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
40,C,Maurkice Pouncey,AFC,PIT,29,8,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
41,C,Mike Pouncey,AFC,LAC,29,7,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
42,DE,Myles Garrett,AFC,CLE,23,1,14,14,0,0,0,0,0,0,0,0,0,0,0,31,12.5,0,
43,DE,Demarcus Lawrence,NFC,DAL,26,4,14,13,0,0,0,0,0,0,0,0,0,0,0,39,9.5,1,
44,DE,J.J. Watt,AFC,HOU,29,7,14,14,0,0,0,0,0,0,0,0,0,0,0,41,14.5,0,
45,DE,Danielle Hunter,NFC,MIN,24,3,14,14,0,0,0,0,0,0,0,0,0,0,0,47,14.5,0,
46,DE,Cameron Jordan,NFC,NOR,29,7,14,14,0,0,0,0,0,0,0,0,0,0,0,34,12.0,0,
47,DE,Melvin Ingram,AFC,LAC,29,6,14,14,0,0,0,0,0,1,0,0,0,0,0,26,7.0,1,
48,DT,Akiem Hicks,NFC,CHI,29,6,14,14,0,0,0,0,0,1,1,1,0,0,0,38,6.0,0,
49,DT,Geno Atkins,AFC,CIN,30,8,14,14,0,0,0,0,0,0,0,0,0,0,0,21,10.0,0,
50,DT,Jurrell Casey,AFC,TEN,29,7,14,14,0,0,0,0,0,0,0,0,0,0,0,35,7.0,0,
51,DT,Fletcher Cox,NFC,PHI,28,6,14,14,0,0,0,0,0,0,0,0,0,0,0,29,7.5,0,
52,DT,Cameron Heyward,AFC,PIT,29,7,14,14,0,0,0,0,0,0,0,0,0,0,0,28,6.0,0,
53,DT,Aaron Donald,NFC,LAR,27,4,14,14,0,0,0,0,0,0,0,0,0,0,0,32,16.5,0,
54,OLB,Khalil Mack,NFC,CHI,27,4,12,11,0,0,0,0,0,0,0,0,0,0,0,34,12.5,1,
