,Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams
0,QB,Aaron Rodgers,,GNB,31,9,16,16,341,520,4381,38,5,43,269,2,0,0,0,2,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
1,QB,Tony Romo,Irvin,DAL,34,10,15,15,304,435,3705,34,9,26,61,0,0,0,0,1,0.0,0,AP: 2nd Tm
2,QB,Ben Roethlisberger,,PIT,32,10,16,16,408,608,4952,32,9,33,27,0,0,-6,0,0,0.0,0,PFF: 2nd Tm
3,QB,Matt Ryan,Irvin,ATL,29,6,16,16,415,628,4694,28,14,29,145,0,0,0,0,0,0.0,0,
4,QB,Andy Dalton,Carter,CIN,27,3,16,16,309,481,3398,19,17,60,169,4,1,18,1,2,0.0,0,
5,QB,Andrew Luck,Carter,IND,25,2,16,16,380,616,4761,40,16,64,273,3,0,0,0,3,0.0,0,
6,QB,Peyton Manning,,DEN,38,16,16,16,395,597,4727,39,15,24,-24,0,0,0,0,2,0.0,0,
7,QB,Matthew Stafford,Irvin,DET,26,5,16,16,363,602,4257,22,12,43,93,2,0,0,0,3,0.0,0,
8,QB,Drew Brees,Carter,NOR,35,13,16,16,456,659,4952,33,17,27,68,1,1,1,0,0,0.0,0,
9,QB,Tom Brady,,NWE,37,14,16,16,373,582,4109,33,9,36,57,0,0,0,0,1,0.0,0,
10,RB,Le'Veon Bell,,PIT,22,1,16,16,0,0,0,0,0,290,1361,8,83,854,3,3,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
11,RB,Darren Sproles,Irvin,PHI,31,9,15,0,0,0,0,0,0,57,329,6,40,387,0,1,0.0,0,"AP: 2nd Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
12,RB,DeMarco Murray,Irvin,DAL,26,3,16,16,0,0,0,0,0,392,1845,13,57,416,0,2,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
13,RB,Marshawn Lynch,,SEA,28,7,16,14,0,0,0,0,0,280,1306,13,37,367,4,0,0.0,0,"AP: 2nd Tm, PFF: 2nd Tm"
14,RB,C.J. Anderson,Irvin,DEN,23,1,15,7,0,0,0,0,0,179,849,8,34,324,2,1,0.0,0,
15,RB,Arian Foster,,HOU,28,5,13,13,1,1,5,1,0,260,1246,8,38,327,5,1,0.0,0,
16,RB,Jamaal Charles,Carter,KAN,28,6,15,15,0,0,0,0,0,206,1033,9,40,291,5,2,0.0,0,
17,RB,Mark Ingram,Irvin,NOR,25,3,13,9,0,0,0,0,0,226,964,9,29,145,0,1,0.0,0,
18,RB,LeSean McCoy,,PHI,26,5,16,16,0,0,0,0,0,312,1319,5,28,155,0,1,0.0,0,
19,RB,Justin Forsett,Carter,BAL,29,6,16,14,0,0,0,0,0,235,1266,8,44,263,0,2,0.0,0,
20,RB,Alfred Morris,Carter,WAS,26,2,16,16,0,0,0,0,0,265,1074,8,17,155,0,2,0.0,0,
21,FB,John Kuhn,Carter,GNB,32,8,16,2,0,0,0,0,0,24,85,1,4,23,0,1,0.0,0,AP: 1st Tm
22,FB,Marcel Reece,Irvin,OAK,29,6,15,15,0,0,0,0,0,21,85,0,37,265,1,4,0.0,0,
23,WR,Antonio Brown,Carter,PIT,26,4,16,16,2,2,20,1,0,4,13,0,129,1698,13,2,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
24,WR,Dez Bryant,,DAL,26,4,16,16,0,0,0,0,0,0,0,0,88,1320,16,1,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm"
25,WR,Matt Slater,,NWE,29,6,16,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0,0,"FW: 1st Tm, PFF: 1st Tm"
26,WR,Jordy Nelson,Carter,GNB,29,6,16,16,0,0,0,0,0,0,0,0,98,1519,13,1,0.0,0,"AP: 2nd Tm, PFF: 2nd Tm, SN: 1st Tm"
27,WR,Julio Jones,,ATL,25,3,15,15,0,0,0,0,0,1,1,0,104,1593,6,3,0.0,0,SN: 1st Tm
28,WR,Emmanuel Sanders,Irvin,DEN,27,4,16,16,0,0,0,0,0,8,44,0,101,1404,9,1,0.0,0,PFF: 1st Tm
29,WR,Odell Beckham,Irvin,NYG,22,Rook,12,11,0,1,0,0,0,7,35,0,91,1305,12,3,0.0,0,PFF: 1st Tm
30,WR,Demaryius Thomas,,DEN,27,4,16,16,0,0,0,0,0,0,0,0,111,1619,11,2,0.0,0,AP: 2nd Tm
31,WR,Randall Cobb,Irvin,GNB,24,3,16,16,0,0,0,0,0,11,37,0,91,1287,12,1,0.0,0,PFF: 2nd Tm
32,WR,Devin Hester,Carter,ATL,32,8,16,1,0,0,0,0,0,6,36,1,38,504,2,1,0.0,0,
33,WR,A.J. Green,Carter,CIN,26,3,13,13,0,0,0,0,0,2,2,0,69,1041,6,1,0.0,0,
34,WR,T.Y. Hilton,Carter,IND,25,2,15,15,0,0,0,0,0,2,20,0,82,1345,7,1,0.0,0,
