,Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams
0,QB,Aaron Rodgers,NFC,GNB,28,6,15,15,343,502,4643,45,6,60,257,3,0,0,0,1,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
1,QB,Drew Brees,NFC,NOR,32,10,16,16,468,657,5476,46,14,21,86,1,0,0,0,2,0.0,0,"AP: 2nd Tm, PFF: 2nd Tm"
2,QB,Cam Newton,NFC,CAR,22,Rook,16,16,310,517,4051,21,17,126,706,14,1,27,0,1,0.0,0,
3,QB,Andy Dalton,AFC,CIN,24,Rook,16,16,300,516,3398,20,13,37,152,1,0,0,0,2,0.0,0,
4,QB,Tom Brady,AFC,NWE,34,11,16,16,401,611,5235,39,12,43,109,3,0,0,0,0,0.0,0,
5,QB,Eli Manning,NFC,NYG,30,7,16,16,359,589,4933,29,16,35,15,1,0,0,0,0,0.0,0,
6,QB,Ben Roethlisberger,AFC,PIT,29,7,15,15,324,513,4077,21,14,31,70,0,0,0,0,2,0.0,0,
7,QB,Philip Rivers,AFC,SDG,30,7,16,16,366,582,4624,27,20,26,36,1,0,0,0,1,0.0,0,
8,RB,Maurice Jones-Drew,AFC,JAX,26,5,16,16,0,0,0,0,0,343,1606,8,43,374,3,1,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
9,RB,LeSean McCoy,NFC,PHI,23,2,15,15,0,0,0,0,0,273,1309,17,48,315,3,2,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
10,RB,Arian Foster,AFC,HOU,25,2,13,13,0,0,0,0,0,278,1224,10,53,617,2,3,0.0,0,AP: 2nd Tm
11,RB,Ray Rice,AFC,BAL,24,3,16,16,1,1,1,1,0,291,1364,12,76,704,3,0,0.0,0,AP: 2nd Tm
12,RB,Matt Forte,NFC,CHI,26,3,12,12,0,1,0,0,0,203,997,3,52,490,1,3,0.0,0,
13,RB,Willis McGahee,AFC,DEN,30,7,15,14,0,0,0,0,0,249,1199,4,12,51,1,1,0.0,0,
14,RB,Ryan Mathews,AFC,SDG,24,1,14,14,0,0,0,0,0,222,1091,6,50,455,0,2,0.0,0,
15,RB,Marshawn Lynch,NFC,SEA,25,4,15,15,0,2,0,0,0,285,1204,12,28,212,1,2,0.0,0,
16,RB,Frank Gore,NFC,SFO,28,6,16,15,0,0,0,0,0,282,1211,8,17,114,0,1,0.0,0,
17,FB,Vonta Leach,AFC,BAL,30,7,16,16,0,0,0,0,0,12,35,0,15,69,0,2,0.0,0,"AP: 1st Tm, PFF: 1st Tm"
18,FB,John Kuhn,NFC,GNB,29,5,16,3,0,0,0,0,0,30,78,4,15,77,2,1,0.0,0,AP: 2nd Tm
19,FB,Michael Robinson,NFC,SEA,28,5,14,4,0,0,0,0,0,4,7,0,9,74,1,6,0.0,0,
20,WR,Calvin Johnson,NFC,DET,26,4,16,16,0,0,0,0,0,1,11,0,96,1681,16,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
21,WR,Wes Welker,AFC,NWE,30,7,16,15,0,0,0,0,0,4,30,0,122,1569,9,1,0.0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
22,WR,Larry Fitzgerald,NFC,ARI,28,7,16,16,0,0,0,0,0,0,0,0,80,1411,8,4,0.0,0,"AP: 2nd Tm, PFF: 1st Tm"
23,WR,Steve Smith,NFC,CAR,32,10,16,16,0,0,0,0,0,6,56,0,79,1394,7,5,0.0,0,PFF: 2nd Tm
