,Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams
0,P,Brian Moorman,AFC,BUF,30,5,16,0,0,1,0,0,0,2,2,0,0,0,0,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
1,DE,Julius Peppers,NFC,CAR,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,48,13.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
2,K,Robbie Gould,NFC,CHI,24,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
3,,Devin Hester,NFC,CHI,24,Rook,16,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
4,C,Olin Kreutz,NFC,CHI,29,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
5,MLB,Brian Urlacher,NFC,CHI,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,92,0.0,3,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
6,WR,Chad Johnson,AFC,CIN,28,5,16,16,0,0,0,0,0,6,24,0,87,1369,7,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
7,WR,Marvin Harrison,AFC,IND,34,10,16,16,0,0,0,0,0,0,0,0,95,1366,12,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
8,LCB,Champ Bailey,AFC,DEN,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,73,0.0,10,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
9,LCB,Rashean Mathis,AFC,JAX,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,56,0.0,8,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
10,RB,Larry Johnson,AFC,KAN,27,3,16,16,0,1,0,0,0,416,1789,17,41,410,2,3,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
11,DE,Jason Taylor,AFC,MIA,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,40,13.5,2,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
12,DT,Kevin Williams,NFC,MIN,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,28,5.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
13,QB,Drew Brees,NFC,NOR,27,5,16,16,356,554,4418,26,11,42,32,0,0,0,0,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
14,FS,Ed Reed,AFC,BAL,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,51,0.0,5,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
15,TE,Antonio Gates,AFC,SDG,26,3,16,16,0,0,0,0,0,0,0,0,71,924,9,1,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
16,LB/LOLB/ROLB,Shawne Merriman,AFC,SDG,22,1,12,12,0,0,0,0,0,0,0,0,0,0,0,48,17.0,1,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
17,RB,LaDainian Tomlinson,AFC,SDG,27,5,16,16,2,3,20,2,0,348,1815,28,56,508,3,0,0.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
18,DT,Jamal Williams,AFC,SDG,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,49,2.0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
19,SS,Adrian Wilson,NFC,ARI,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,74,5.0,4,"AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm"
20,LG,Steve Hutchinson,NFC,MIN,29,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm"
21,RCB,Justin Miller,AFC,NYJ,22,1,16,4,0,0,0,0,0,0,0,0,0,0,0,45,0.0,0,"FW: 1st Tm, SN: 1st Tm, AP: 2nd Tm"
22,LT,Walter Jones,NFC,SEA,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm"
23,LT/WR,Jammal Brown,NFC,NOR,25,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 1st Tm, FW: 1st Tm"
24,RG,Shawn Andrews,NFC,PHI,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 1st Tm, SN: 1st Tm"
25,LG,Alan Faneca,AFC,PIT,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 1st Tm, FW: 1st Tm"
26,LB/ROLB,Adalius Thomas,AFC,BAL,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,64,11.0,1,"AP: 1st Tm, FW: 1st Tm"
27,LB,Lance Briggs,NFC,CHI,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,109,1.0,2,"AP: 2nd Tm, SN: 1st Tm"
28,LT,Jonathan Ogden,AFC,BAL,32,10,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 2nd Tm, SN: 1st Tm"
29,LB,Brendon Ayanbadejo,NFC,CHI,30,3,16,1,0,0,0,0,0,0,0,0,0,0,0,22,0.0,0,FW: 1st Tm
30,RT/T,Willie Anderson,AFC,CIN,31,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 1st Tm
31,LB/MLB,Zach Thomas,AFC,MIA,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,103,3.0,1,AP: 1st Tm
32,FS,Brian Dawkins,NFC,PHI,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,71,1.0,4,AP: 1st Tm
33,FB,Lorenzo Neal,AFC,SDG,36,13,16,11,0,0,0,0,0,29,140,1,17,83,0,1,0.0,0,AP: 1st Tm
34,DE,Aaron Schobel,AFC,BUF,29,5,16,16,0,0,0,0,0,0,0,0,0,0,0,35,14.0,0,AP: 2nd Tm
35,QB,Peyton Manning,AFC,IND,30,8,16,16,362,557,4397,31,9,23,36,4,0,0,0,0,0.0,0,AP: 2nd Tm
36,C,Jeff Saturday,AFC,IND,31,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm
37,P,Mat McBriar,NFC,DAL,27,2,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,AP: 2nd Tm
38,LB,DeMarcus Ware,NFC,DAL,24,1,16,16,0,0,0,0,0,0,0,0,0,0,0,57,11.5,1,AP: 2nd Tm
39,MLB,Al Wilson,AFC,DEN,29,7,15,15,0,0,0,0,0,0,0,0,0,0,0,78,1.0,0,AP: 2nd Tm
40,DE,Aaron Kampman,NFC,GNB,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,59,15.5,0,AP: 2nd Tm
41,WR,Andre Johnson,AFC,HOU,25,3,16,16,0,0,0,0,0,3,14,0,103,1147,5,6,0.0,0,AP: 2nd Tm
42,LDT/RDT,John Henderson,AFC,JAX,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,38,3.5,0,AP: 2nd Tm
